School,W,L,S,Kills,Errors,Total Attacks,Pct,Assists,Digs,Aces,Block Solos,Block Assists,TB,Opp Kills,Opp Errors,Opp Attacks,Opp Pct
Penn St.,33,2,123,1753,452,3843,0.339,1631,1620,169,92,566,375,1445,750,4058,0.171
Nebraska,32,4,125,1777,575,4267,0.282,1632,1904,184,61,479,300.5,1368,701,4335,0.154
Western Ky.,31,4,120,1705,469,3728,0.332,1578,1601,165,71,409,275.5,1347,663,3879,0.176
Austin Peay,30,6,132,1834,678,4906,0.236,1731,2256,199,92,314,249,1598,700,4857,0.185
BYU,30,3,118,1613,529,3993,0.271,1503,1584,148,45,589,339.5,1431,738,4070,0.17
Florida,30,2,116,1593,480,3998,0.278,1502,1826,152,38,603,339.5,1315,712,4191,0.144
North Dakota,30,8,138,1851,632,5239,0.233,1739,2530,134,88,569,372.5,1794,882,5628,0.162
Stanford,30,4,119,1713,488,3842,0.319,1609,1484,177,41,637,359.5,1364,681,3808,0.179
VCU,30,3,116,1459,580,3911,0.225,1370,1599,183,63,637,381.5,1332,800,4077,0.13
Colorado St.,29,4,116,1624,475,3638,0.316,1533,1444,168,62,542,333,1376,686,3800,0.182
Kentucky,29,4,119,1786,501,4035,0.318,1636,1594,136,49,481,289.5,1469,633,3982,0.21
North Texas,29,4,122,1800,543,4289,0.293,1671,1766,180,66,402,267,1472,659,4209,0.193
Wichita St.,29,4,111,1632,445,3940,0.301,1533,1899,96,36,506,289,1361,723,4247,0.15
Alabama St.,28,11,142,1769,728,4658,0.223,1616,1978,196,70,469,304.5,1531,819,4660,0.153
Minnesota,28,6,118,1733,509,4288,0.285,1623,1926,146,49,485,291.5,1581,678,4530,0.199
Missouri St.,28,6,127,1828,588,5028,0.247,1742,2443,135,56,355,233.5,1634,723,5090,0.179
Cal Poly,27,3,101,1522,432,3519,0.31,1420,1524,149,40,306,193,1206,533,3489,0.193
Central Ark.,27,5,117,1612,622,3986,0.248,1494,1647,175,67,429,281.5,1370,675,3947,0.176
Col. of Charleston,27,6,118,1666,598,4191,0.255,1550,1906,131,73,415,280.5,1366,693,4240,0.159
Texas,27,3,106,1480,364,3546,0.315,1369,1617,101,47,567,330.5,1304,676,3885,0.162
Towson,27,6,120,1709,702,4672,0.216,1625,2130,155,36,359,215.5,1399,677,4495,0.161
UMES,27,9,134,1626,545,4088,0.264,1493,1725,268,62,390,257,1381,767,4130,0.149
UNI,27,9,131,1997,702,5368,0.241,1857,2581,129,83,322,244,1615,696,5217,0.176
American,26,8,122,1656,509,4123,0.278,1542,1813,173,72,428,286,1466,703,4304,0.177
Creighton,26,7,118,1684,511,4209,0.279,1557,1909,152,37,422,248,1439,633,4284,0.188
Pittsburgh,26,7,117,1696,636,3905,0.271,1584,1545,167,40,445,262.5,1324,602,3764,0.192
Sacramento St.,26,10,146,1972,708,5732,0.221,1852,2507,197,74,506,327,1946,750,5601,0.214
SFA,26,8,122,1587,496,4308,0.253,1475,2019,186,28,498,277,1480,720,4526,0.168
Fairfield,25,7,112,1510,693,4030,0.203,1445,1851,159,38,354,215,1209,630,3941,0.147
Radford,25,5,109,1457,500,3841,0.249,1320,1721,166,36,357,214.5,1209,613,3800,0.157
San Diego,25,5,104,1552,587,3703,0.261,1468,1516,134,61,310,216,1194,524,3495,0.192
Southern California,25,10,136,1929,726,4801,0.251,1810,1946,167,54,443,275.5,1713,738,4667,0.209
Texas St.,25,10,126,1760,759,4771,0.21,1664,2210,140,54,420,264,1438,693,4647,0.16
Washington,25,8,121,1672,560,4291,0.259,1556,1820,193,52,618,361,1540,688,4323,0.197
Baylor,24,7,112,1630,578,3990,0.264,1526,1753,128,39,419,248.5,1235,616,3911,0.158
Colorado,24,10,128,1745,603,4603,0.248,1634,1911,132,60,499,309.5,1666,754,4645,0.196
High Point,24,8,114,1536,544,3989,0.249,1431,1763,194,71,308,225,1337,668,4042,0.166
Louisville,24,7,114,1546,611,4033,0.232,1444,1738,142,53,422,264,1310,631,3949,0.172
Michigan St.,24,9,113,1635,542,4035,0.271,1511,1687,199,42,429,256.5,1334,580,3853,0.196
UC Irvine,24,8,116,1560,597,3965,0.243,1452,1693,180,53,247,176.5,1314,558,3829,0.197
Utah,24,10,131,1886,696,4723,0.252,1786,2037,132,75,511,330.5,1671,732,4762,0.197
Butler,23,8,119,1620,554,4308,0.247,1484,1852,133,63,515,320.5,1474,709,4392,0.174
Dayton,23,8,108,1470,506,3748,0.257,1354,1567,189,25,465,257.5,1265,611,3749,0.174
Denver,23,6,102,1419,490,3666,0.253,1332,1661,155,32,408,236,1183,562,3622,0.171
Drake,23,10,121,1635,629,4935,0.204,1538,2314,121,21,402,222,1582,684,4968,0.181
Illinois,23,11,127,1710,546,4224,0.276,1587,1683,140,53,631,368.5,1687,748,4439,0.212
Jacksonville St.,23,13,142,1743,735,4892,0.206,1635,2146,129,59,500,309,1748,841,5112,0.177
James Madison,23,6,110,1409,515,3828,0.234,1296,1738,125,36,540,306,1306,713,4073,0.146
Miami (OH),23,9,120,1639,633,4828,0.208,1505,2231,124,92,294,239,1497,680,4654,0.176
Navy,23,8,114,1538,497,4196,0.248,1444,1862,162,93,316,251,1398,662,4267,0.172
Purdue,23,10,117,1670,545,3740,0.301,1549,1559,147,67,423,278.5,1443,626,3893,0.21
SIUE,23,7,119,1596,662,4318,0.216,1492,2073,152,66,353,242.5,1403,667,4418,0.167
Cleveland St.,22,8,117,1630,574,4204,0.251,1543,1853,126,45,418,254,1480,637,4310,0.196
East Carolina,22,11,124,1608,600,4380,0.23,1498,1986,120,59,434,276,1582,696,4529,0.196
FGCU,22,10,108,1515,510,3920,0.256,1425,1692,130,66,355,243.5,1314,621,3887,0.178
Georgia,22,12,116,1595,633,3961,0.243,1497,1625,182,26,354,203,1362,586,3845,0.202
Illinois St.,22,13,131,1818,710,5205,0.213,1705,2515,165,52,369,236.5,1545,753,5112,0.155
Iowa St.,22,7,102,1397,495,3807,0.237,1294,1773,115,50,513,306.5,1242,623,3910,0.158
Kansas,22,8,118,1653,577,4222,0.255,1554,1845,95,25,421,235.5,1502,629,4257,0.205
Marquette,22,10,116,1653,534,4172,0.268,1560,1831,162,31,401,231.5,1437,596,4170,0.202
Miami (FL),22,6,110,1499,574,3764,0.246,1420,1480,188,36,354,213,1284,550,3604,0.204
Missouri,22,12,131,1726,663,4361,0.244,1602,1792,140,104,547,377.5,1698,785,4599,0.199
Murray St.,22,9,117,1564,673,4517,0.197,1468,2041,185,40,220,150,1413,593,4284,0.191
Notre Dame,22,10,122,1503,582,4869,0.189,1396,2217,191,35,586,328,1539,776,4880,0.156
Ole Miss,22,14,138,1846,779,4963,0.215,1708,2238,143,101,386,294,1705,757,5035,0.188
Syracuse,22,14,131,1636,632,4334,0.232,1554,1923,154,83,548,357,1713,826,4831,0.184
Wisconsin,22,10,113,1593,486,3707,0.299,1525,1574,117,33,502,284,1334,646,3834,0.179
Wofford,22,11,125,1631,725,4277,0.212,1529,1859,160,41,338,210,1440,631,4252,0.19
Arkansas St.,21,12,122,1658,672,4498,0.219,1537,1881,147,121,280,261,1555,711,4424,0.191
Bryant,21,12,125,1609,733,4647,0.189,1499,1961,166,36,420,246,1459,678,4466,0.175
Furman,21,10,113,1493,615,4068,0.216,1406,1881,137,55,247,178.5,1399,602,4131,0.193
Houston Baptist,21,10,113,1514,604,4170,0.218,1416,1917,172,63,447,286.5,1315,660,4120,0.159
Kennesaw St.,21,5,89,1208,476,3186,0.23,1115,1385,96,43,327,206.5,1041,563,3197,0.15
Louisiana,21,11,121,1524,554,4494,0.216,1437,2064,116,118,370,303,1655,756,4785,0.188
Michigan,21,12,118,1644,606,4041,0.257,1533,1550,156,69,384,261,1529,598,3948,0.236
NC State,21,12,126,1768,694,4493,0.239,1667,1874,112,52,508,306,1580,670,4406,0.207
New Mexico St.,21,8,103,1436,550,3805,0.233,1358,1729,121,46,402,247,1144,628,3725,0.139
Oregon St.,21,12,121,1615,545,4538,0.236,1498,1929,148,70,432,286,1591,661,4508,0.206
Portland St.,21,9,106,1471,532,3956,0.237,1401,1740,143,50,364,232,1357,551,3994,0.202
Rice,21,9,123,1601,623,4486,0.218,1513,2052,115,81,442,302,1566,769,4686,0.17
SMU,21,11,121,1620,664,4682,0.204,1538,2170,125,59,452,285,1627,712,4821,0.19
UCLA,21,11,118,1641,589,4425,0.238,1545,2024,138,78,356,256,1467,624,4379,0.193
West Virginia,21,13,125,1620,684,4162,0.225,1542,1670,163,40,469,274.5,1492,700,4159,0.19
Campbell,20,12,113,1473,646,4064,0.203,1342,1842,169,49,248,173,1252,542,3873,0.183
Coastal Caro.,20,8,106,1408,517,3647,0.244,1316,1589,132,94,306,247,1260,594,3700,0.18
Hawaii,20,8,106,1432,471,3756,0.256,1327,1611,158,57,399,256.5,1164,574,3662,0.161
LIU Brooklyn,20,10,116,1472,637,4382,0.191,1384,2028,158,57,356,235,1402,656,4353,0.171
LSU,20,10,112,1492,598,3913,0.228,1407,1690,100,78,401,278.5,1393,633,3973,0.191
Southern Miss.,20,12,116,1600,705,3984,0.225,1507,1614,127,68,354,245,1323,617,3807,0.185
Temple,20,10,113,1546,522,4142,0.247,1455,1866,120,47,451,272.5,1444,634,4256,0.19
UCF,20,14,128,1682,607,4582,0.235,1587,2012,121,79,438,298,1666,764,4713,0.191
Arkansas,19,11,116,1578,617,4091,0.235,1507,1691,143,32,402,233,1397,583,3903,0.209
Ball St.,19,11,118,1528,615,4305,0.212,1428,1952,152,81,338,250,1493,681,4384,0.185
Central Conn. St.,19,8,110,1397,588,4172,0.194,1302,1868,129,48,495,295.5,1401,704,4285,0.163
