School,W,L,S,Kills,Errors,Total Attacks,Pct,Assists,Digs,Aces,Block Solos,Block Assists,TB,Opp Kills,Opp Errors,Opp Attacks,Opp Pct
Buffalo,15,13,106,1363,562,3620,0.221,1292,1563,151,67,254,194,1305,546,3636,0.209
Central Mich.,15,14,110,1394,619,3923,0.198,1312,1623,124,68,284,210,1413,561,3784,0.225
Eastern Ill.,15,15,113,1474,607,4368,0.198,1362,1821,150,34,443,255.5,1485,637,4278,0.198
Florida A&M,15,12,99,1208,530,3483,0.195,1103,1495,145,52,274,189,1165,581,3447,0.169
Marist,15,16,117,1339,649,3982,0.173,1274,1595,156,49,386,242,1407,662,3940,0.189
Northwestern St.,15,17,121,1447,667,4368,0.179,1349,1930,197,43,345,215.5,1408,649,4240,0.179
Ohio St.,15,16,111,1525,561,3929,0.245,1417,1640,107,53,344,225,1438,544,3879,0.23
Oral Roberts,15,14,106,1432,588,3630,0.233,1352,1433,137,23,297,171.5,1292,476,3459,0.236
Portland,15,15,114,1458,572,4184,0.212,1359,1746,176,33,318,192,1439,570,3983,0.218
Santa Clara,15,15,116,1514,662,4170,0.204,1426,1853,126,47,394,244,1453,597,4188,0.204
St. John's (NY),15,18,119,1508,616,4180,0.213,1435,1763,142,82,434,299,1657,651,4360,0.231
TCU,15,17,113,1497,691,4143,0.195,1407,1642,113,35,403,236.5,1469,563,3899,0.232
Tulsa,15,17,125,1549,682,4794,0.181,1458,2229,121,54,350,229,1596,703,4836,0.185
Utah Valley,15,16,116,1450,538,4079,0.224,1328,1688,114,43,605,345.5,1658,735,4468,0.207
Air Force,14,18,126,1511,800,4043,0.176,1424,1504,170,61,456,289,1443,677,3884,0.197
Alabama A&M,14,20,113,1230,599,3650,0.173,1145,1620,149,83,335,250.5,1437,686,3967,0.189
Belmont,14,15,113,1372,658,3879,0.184,1265,1544,167,26,353,202.5,1198,570,3611,0.174
Bucknell,14,14,106,1227,570,3619,0.182,1130,1551,143,56,401,256.5,1422,612,3880,0.209
Gonzaga,14,16,117,1392,651,3960,0.187,1323,1644,118,48,360,228,1508,580,3992,0.232
La Salle,14,16,118,1504,651,4176,0.204,1402,1757,169,55,212,161,1397,539,3956,0.217
Morehead St.,14,15,103,1324,595,3519,0.207,1248,1404,152,33,386,226,1238,552,3453,0.199
N.C. A&T,14,14,98,1048,561,3023,0.161,951,1190,171,65,280,205,1055,565,3026,0.162
North Carolina,14,14,106,1240,524,3508,0.204,1162,1417,108,20,557,298.5,1401,641,3748,0.203
Northern Colo.,14,16,107,1412,617,3941,0.202,1309,1681,127,83,254,210,1271,565,3795,0.186
Northwestern,14,18,108,1404,538,3503,0.247,1330,1295,162,39,347,212.5,1335,485,3326,0.256
Robert Morris,14,17,119,1435,624,4248,0.191,1320,1892,209,30,365,212.5,1503,633,4329,0.201
Sam Houston St.,14,16,108,1395,638,4004,0.189,1283,1728,123,30,401,230.5,1352,616,4032,0.183
Tulane,14,19,128,1635,739,4664,0.192,1576,1971,174,46,370,231,1572,627,4420,0.214
UMBC,14,12,91,1084,483,3232,0.186,1021,1385,110,29,358,208,1163,560,3343,0.18
Abilene Christian,13,18,117,1389,666,4250,0.17,1289,1756,137,40,481,280.5,1572,689,4314,0.205
Ark.-Pine Bluff,13,20,111,1186,639,3685,0.148,1108,1479,157,50,251,175.5,1360,546,3657,0.223
California,13,18,107,1338,544,3513,0.226,1256,1424,118,58,222,169,1383,503,3521,0.25
Chattanooga,13,18,118,1469,693,4489,0.173,1402,1983,140,41,349,215.5,1453,636,4311,0.19
Cincinnati,13,19,118,1479,705,4439,0.174,1386,1889,114,61,402,262,1507,658,4331,0.196
CSUN,13,15,106,1357,582,3500,0.221,1239,1413,164,66,261,196.5,1270,511,3461,0.219
Duquesne,13,16,108,1349,596,3792,0.199,1290,1685,129,37,252,163,1370,558,3903,0.208
Eastern Ky.,13,19,126,1490,746,4479,0.166,1377,1800,125,60,331,225.5,1606,695,4398,0.207
Georgia Tech,13,18,113,1436,578,3880,0.221,1369,1587,98,54,315,211.5,1560,599,3996,0.24
Hampton,13,17,106,1181,661,3253,0.16,1102,1237,133,48,325,210.5,1170,541,3158,0.199
Harvard,13,10,91,1153,413,3010,0.246,1078,1269,109,41,246,164,1189,465,3136,0.231
New Hampshire,13,14,102,1231,552,3617,0.188,1159,1533,170,48,206,151,1239,532,3497,0.202
North Florida,13,19,115,1418,656,4101,0.186,1344,1743,139,60,392,256,1429,593,4051,0.206
Northern Ariz.,13,15,104,1314,448,3898,0.222,1229,1728,158,39,358,218,1434,560,3981,0.22
Saint Louis,13,15,105,1377,643,3534,0.208,1289,1358,170,20,284,162,1176,478,3217,0.217
Samford,13,18,124,1533,691,4397,0.191,1465,1887,158,40,312,196,1516,632,4278,0.207
UNC Asheville,13,15,102,1184,493,3394,0.204,1077,1413,167,43,187,136.5,1279,519,3470,0.219
UT Arlington,13,17,113,1406,641,3842,0.199,1303,1655,121,34,258,163,1334,552,3821,0.205
Wake Forest,13,19,117,1427,737,3996,0.173,1334,1521,120,81,392,277,1410,643,3848,0.199
Xavier,13,19,120,1511,651,4458,0.193,1412,1933,111,72,399,271.5,1633,673,4532,0.212
Appalachian St.,12,20,134,1675,802,4947,0.176,1580,2076,126,61,305,213.5,1773,666,4789,0.231
Bethune-Cookman,12,14,97,1211,506,3506,0.201,1147,1598,85,66,323,227.5,1283,588,3684,0.189
Binghamton,12,15,102,1322,584,3718,0.198,1221,1565,137,40,229,154.5,1246,494,3537,0.213
Cornell,12,11,88,1192,523,3583,0.187,1119,1560,115,34,312,190,1101,471,3331,0.189
Fordham,12,15,98,1174,551,3251,0.192,1109,1348,192,19,228,133,1103,448,3113,0.21
Fresno St.,12,18,113,1316,615,3649,0.192,1247,1423,143,81,461,311.5,1493,653,3826,0.22
Houston,12,16,108,1396,635,4212,0.181,1307,1855,167,66,297,214.5,1326,545,4000,0.195
Indiana,12,20,112,1415,608,3648,0.221,1322,1413,144,45,286,188,1414,474,3484,0.27
Liberty,12,19,117,1433,643,4132,0.191,1344,1827,98,49,404,251,1568,647,4381,0.21
